crop_number,crop_name_fr,crop_latin,No d'ordre,Dénomination,Nature Génétique,Nature génétique,Obtenteur/ Pays,Obtenteur / Pays,Obtenteur/ pays,Date d'inscription,Mainteneur,Aptitude au tallage,Aptitude à la conservation,Arôme du grain,Autres caractéristiques,"Autres caractéristiques (insectes, striga, maladies)",Autres carasteristiques,Couleur de la chair,Couleur de la peau,Couleur de la peau du tubercule,Couleur de la tunique du bulbe à maturité,Couleur des grains,Couleur du fruit à maturité,Couleur du grain,Couleur fibre,Couleur principale du tégument du grain,Cycle plantation (jours),Cycle plantation- maturité (jours),Cycle plantation- maturité (mois),Cycle semis - maturité (50%) (Jr),Cycle semis- maturité 1ère récolte (jours),Cycle semis- maturité à 50% (jours),Cycle semis- maturité à 95% (jours),Cycle semis- maturité à 95% des plants (jours),Cycle sémi- maturité 50% /jour,Date d'inscript ion,Densité de la panicule,Dormance des grains,Durée de conservation,Délai de brunissement de la chair après grattage,Elongation de la fibre,Epoque dehiscence première capsules(j),Espèce,Fermeté du fruit,Forme de la panicule (position de la partie la plus large),Forme de la racine turbéreuse,Forme du tubercule,Forme du turbercule en section longitudinale,Hauteur de la plante (cm),Hauteur de plant (cm),Hauteur de plante (cm),Hauteur de plante en cm,Hauteur de plants (cm),Hauteur des plants,Hauteur des plants (cm),Index de gluten,Indice micronaire,Isohyete (mm),Isohyète,Isohyète (mm),Longueur de l'épi,Longueur de la chandelle (cm),Longueur du tubercule,Longueur fibre,Nature génétiqe,Obtenteur /pays,Obtenteur/Pa ys,Photosensibilité,Poids de 100 Graines (g),Poids de 100 graines (g),Poids de 100 grains (PCG) à 15%,Poids de 100 grains (g),Poids de 1000 graines (g),Poids de 1000 grains (g),Poids des bulbes et bulbilles,Poids moyenne du fruit (g),Port de plante,Port des plants,Pourcentage de gros calibre,Reflectance,Rendeme nt potentiel (t/ha),Rendement en fanes (t/ha),Rendement en grains (t/ha),Rendement grains (t/ha),Rendement mesuré (T/Ha),Rendement mesuré (T/ha),Rendement mesuré (t/ha),Rendement potentiel (t/ha),Rendement potentiel en fanes (t/ha),Rendement égrenage (%),Résistance au striga,Résistance aux bioagresseurs,Résistance aux maladies,Résistance aux nuisibles,Résistance aux virose,Résistance à la sécheresse,Résistance à la verse,Sensibilité à la photopériode,Taille du bulbille,Taille du fruit,Tenacité de la fibre,Tendance à la montaison,Teneur en acide cyanhydrique,Teneur en huile (%),Teneur en proteine,Teneur en protéines (%),Tolérance à la sécheresse,Type de blé (dur ou tendre),Type de croissance,Type de crosissance,Type de plant,Vocation culturale,Vocation d'utilisation,Vocation d’utilisation,aptitude à la conservation,autres caractéristiques,couleur de grain (dos),couleur de la Peau,cycle semi- maturité,hauteur de la plante (cm),indice du jaune,isohyète,isohyète (mm),longueur de l'Épi,longueur du grain,rendement mesuré (T/Ha),résistance aux nuisibles,résistance à la sécheresse,tolérance à la secheresse,type de grain,vocation culturale
6,MAIS,Zea mays L.,20,WAC14M5,,hybrid,,,"IITA & WACOT SEED LTD, NGA",2022,WACOT SEED LTD,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,sensible aux ravageurs,blanc [1],,,,,,900 - 1100,long [7],,,,tolerant,,corné-denté [3],pluvial
6,MAIS,Zea mays L.,21,WAC55E,,hybrid,,,WACOT SEED LTD,2022,WACOT SEED LTD,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,157,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,,9.82,,,,,,,,,,,sensible aux ravageurs,jaune [3],,,,,,900 - 1100,moyen [5],,,,tolerant,,corné-denté à denté [4],pluvial
6,MAIS,Zea mays L.,22,WAC58PVEE,,hybrid,,,"IITA & WACOT SEED LTD, NGA",2022,"WACOT SEED LTD, NGA",,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,9.49,,,,,,,,,,,sensible aux ravageurs,orange [5],,,,,,900 - 1100,moyen [5],,,,tolerant,,corné [1],pluvial
6,MAIS,Zea mays L.,23,WACQH6,,hybrid,,,"IITA & WACOT SEED LTD, NGA",2022,WACOT SEED LTD,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,7.42,,,,,,,,,,,,,,,,,,,9.52,,,,,,,,,,,sensible aux ravageurs,jaune orangé [4],,,,,,900 - 1100,moyen [5],,,,tolerant,,corné [1],pluvial
6,MAIS,Zea mays L.,24,CRI-Nkomo,,Hybrid,,,CRI GHANA - Allen Oppong,2019,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,51-54,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,0.1375,,,,,,,,,,,Pendant; Days to 50% pollination: 51; Days to 50% silking: 54; Tassel colour: Cream;Silk colour: Pink; Stem colour: Green; Kernel row arrangement: Regular;,White,,,,,,1100 - 1900,Ear height: 98cm;,,,,moderately resistant to drought,,Semi-dent,Major and minor Seasons
6,MAIS,Zea mays L.,25,CRI-Akomapa,,Hybrid,,,CRI GHANA Allen Oppong,2019,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,51-53,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,12.88,,,,,,,,,,,Type of variety: Single cross hybrid; Leaf Orientation: Pendant; Ear height: 101cm; Silk colour: Pink; Tassel colour: Cream; Stem colour: Green; Kernel row arrangement: Regular,White,,,,,,1100 - 1900,,,,,Moderately resistant to drought,,Semi-dent,Major and minor Seasons
6,MAIS,Zea mays L.,26,CRI-PAIRED,,Hybrid,,,CRI GHANA- Priscilla F. Ribeiro,2021,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,50-53,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,,"Single cross hybrid;Striga tolerant, Pro-Vitamin A, (7.0µg/g); Leaf orientation: Pendant; Days to 50% pollination: 50; Days to 50% silking: 53; Ear height: 72cm; Tassel colour: Cream;Silk colour: deep purple; Stem colour: Green; Kernel row arrangement: Regular;",Orange,,,,,,1100-1900,,,,,Moderately,,Flint,Major and minor Seasons
6,MAIS,Zea mays L.,27,CRI-Obengantwi,,Hybrid,,,CRI GHANA - Priscilla F. Ribeiro,2021,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,45-50,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,14.2,,,,,,,,,,,Single cross hybrid; Leaf orientation: Pendant; Days to 50% pollination: 45; Days to 50% silking: 50; Ear height: 69cm; Tassel colour: Cream;Silk colour: cream with purple ends; Stem colour: Green; Kernel row arrangement: Regular;,Yellow,,,,,,1100-1900,,,,,Tolerant,,Flint,Major and minor Seasons
6,MAIS,Zea mays L.,28,CRI-Harvestplus,,Hybrid,,,CRI GHANA - Manfred B. Ewool,2021,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,51-55,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,"Three-way hybrid; Leaf orientation: Pro- vitaminA ( 13.2µg/g); Pendant;Days to 50% pollination: 51; Days to 50% silking: 55; Ear height: 88cm, Tassel colour: Cream;Silk colour: cream with purple shades; Stem colour: Green; Kernel row arrangement: Regular",Orange,,,,,,1100-1900,,,,,Moderately,,Flint,Major and minor Seasons
6,MAIS,Zea mays L.,29,CRI-EWOOL,,Hybrid,,,CRI GHANA Manfred B. Ewool,2021,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,51-55,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,"Three-way hybrid; Leaf orientation: Pro- vitaminA ( 14.2µg/g); Pendant;Days to 50% pollination: 51; Days to 50% silking: 55; Ear height: 84cm, Tassel colour: cream; Silk colour: cream with purple shades; Stem colour: Green; Kernel row arrangement: Regular",Orange,,,,,,1100-1900,,,,,Moderately,,Flint,Major and minor Seasons
6,MAIS,Zea mays L.,30,CRI- ZMS666A,,Hybrid,,,CRI GHANA - Manfred B. Ewool,2021,CSIR-CRI,,,,,,,,,,,,,,,,,,,,,,,,51-55,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,10.9,,,,,,,,,,,"Three-way hybrid; Leaf orientation: Pro- vitaminA ( 13.2µg/g); Pendant;Days to 50% pollination: 51; Days to 50% silking: 55; Ear height: 90cm, Tassel colour: cream; Silk colour: cream with purple shades; Stem colour: Green; Kernel row arrangement: Regular",Orange,,,,,,1100-1900,,,,,Moderately,,Flint,Major and minor Seasons
7,MANIOC,Manihot esculenta Crantz,1,UMUCASS 52 (HEADMASTE R),,,"IITA & NRCRI, NGA",,,2022,"NRCRI, NGA",,high,,teneur modérée en amidon,,,Jaune,,,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,>= 1100,,,,,Hybride clonal,,,,,,,,,,,,,,,,51.6,,,,,,,,,,,,,Sensible,,,,,,,,,Faible,,,,Sensible,,,,,,food,,,,,,,,,,,,,,,,,,
7,MANIOC,Manihot esculenta Crantz,2,UMUCASS 53 (SECURITY),,,IITA & NRCRI NGA,,,2022,"NRCRI, NGA",,high,,Riche en amidon,,,Jaune,,,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,>= 1100,,,,,Hybride clonal,,,,,,,,,,,,,,,,51.6,,,,,,,,,,,,,Résistante,,,,,,,,,Faible,,,,,,,,,,food,,,,,,,,,,,,,,,,,,
7,MANIOC,Manihot esculenta Crantz,3,UMUCASS 54 (NO-HUNGER),,,IITA & NRCRI NGA,,,2022,"NRCRI, NGA",,high,,teneur modérée en amidon,,,Jaune,,,,,,,,,,,12 months,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,>= 1100,,,,,Hybride clonal,,,,,,,,,,,,,,,,45.8,,,,,,,,,,,,,Sensible aux ravageurs,,,,,,,,,Faible,,,,Sensible,,,,,,food,,,,,,,,,,,,,,,,,,
8,MIL pénicillaire,Pennisetum glaucum (L.,1,DBS5,OPV,,ITRAD/TCD,,,,ITRAD,,,,Tolérance modérée à la verse,,,,,,,,,,,,,,,,,ND,,,,,,,,,,,,,,,,,,,,,300,,,,,,,900 -1100,,Long,,,,,,,,,,,10,,,,,,,,,,,,,,,3,,,,,,Sensible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,1,CZ16-3-71,Lignée,,IER/MLI,,,,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,erigé,,,,,,1.8,,,,,,2.2,,,,,tolerant,,,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,2,CZ16-1-1-147,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,semi erigé,,,,,,1.5,,,,,,2.5,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,3,CZ16-6-56,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,erigé,,,,,,1.5,,,,,,2.7,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,4,CZ16-4-2-3,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,16,,,,,,,semi erigé,,,,,,1.8,,,,,,3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,5,CZ16-2-2-8,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,1.8,,,,,,2.5,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,6,CZ16-2-2-23,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,semi erigé,,,,,,"2,3",,,,,,3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,7,KT2-23-5,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,"2,2",,,,,,2.3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,8,KT1-44-8,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,"1,8",,,,,,2,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,9,ARTPEA-204B (Modupe),Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,brown,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,1000- 1800,,,,,,,,,,17,,,,,,,speading,,,,,,2,,,,,,4.5,,tolérant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,10,ARTPEA/BBT/2 2/W (BOLUYO),Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,white,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1800,,,,,,,,,,15,,,,,,,erect,,,,,,1,,,,,,4,,tolerant,,,Sensible,,tolerant,,insensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,11,ARTPEA/BBT/7 2/B,Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,brown,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1800,,,,,,,,,,15,,,,,,,erect,,,,,,1,,,,,,4.2,,tolerant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,12,FUAMPEA 3,Lignée,,FUAM Nigeria,,,2022,"FUAM, NGA",,,,,,,,,,,,,brown,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,800-1000,,,,,,,,,,28,,,,,,,Semi-erect,,,,,,2.6,,,,,,3.5,,resistant,,,Sensible,,tolerant,,aphotique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,13,FUAMPEA 4,Lignée,,FUAM Nigeria,,,2022,"FUAM, NGA",,,,,,,,,,,,,browm,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,800-1000,,,,,,,,,,30,,,,,,,Semi-erect,,,,,,2.4,,,,,,4,,resistant,,,Sensible,,tolerant,,sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,14,SAMPEA 21,Lignée,,IITA & IAR Nigeria,,,2022,"IAR IAR, SAMARU,",,,,,,,,,,,,,white,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,Semi-erect,,,,,,2,,,,,,3.1,,resistant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,1,TATA JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune foncée,,,,,,90,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,98,,,,,,,,,,,,,32,,,,,,Tolérante,,,,,Moyen,,,Faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,2,DAOU JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,90,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,100,,,,,,,,,,,,,36,,,,,,Tolérante,,,,,Moyen,,,Nulle ou très faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,3,SABOULA JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,115,,,,,,,,,,,,,38,,,,,,Tolérante,,,,,Petit,,,Nulle ou très faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,4,ESPAGNE JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,72,,,,,,,,,,,,,35,,,,,,Sensible,,,,,Petit,,,Forte,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,5,SAFIATOU JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Blanche,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,139,,,,,,,,,,,,,39,,,,,,Tolérante,,,,,Petit,,,Faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,6,KADA GAW BLANC,Lignée,,IER/MLI,,,2023,IER/MLI,,Bonne,,,,,,,,Blanche,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,130,,,,,,,,,,,,,38,,,,,,Tolérante,,,,,Moyen,,,Moyenne,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,7,KADA GAW ROUGE,Lignée,,IER/MLI,,,2023,IER/MLI,,Bonne,,,,,,,,Rouge,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,120,,,,,,,,,,,,,39,,,,,,Tolérante,,,,,Moyen,,,Moyenne,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,1,Tiebélé-2,,Hybride clonale,INERA / Burkina Faso,,,2014,INERA / Burkina Faso,,,,Teneur en beta-carotène élevée ; taux de matière sèche 25%,,,Orange,Jaune pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Elliptique,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Sensible,Modérée,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,2,Bagré,,Hybride clonale,INERA / Burkina Faso,,,2014,INERA / Burkina Faso,,,,Teneur en beta-carotene elevee ; taux de matiere seche 27%,,,Orange,Rouge,,,,,,,,,120,,,,,,,,,,,,,,,,,,Elliptique,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,Résistance modérée,Modérée,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,3,Heerè,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,29% de matière sèche,,,Orange,Orange pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Ovale,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,Resistant,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,4,Nooma,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,"29% de matière sèche, resistance modérée aux charançons",,,Orange,Orange pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Resistant,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,5,Songré,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,"29% de matière sèche, resistance modérée aux charançons",,,Orange,Rose,,,,,,,,,105,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Résistance modérée,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,6,SARI-Nyoriberi- gu,,Population améliorée,CSIR-SARI,,,2022,CSIR-SARI,,,,"36,5% de matière sèche, résistant aux charançons,",,,Orange,orange brunâtre,,,,,,,,,120,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,900 - 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,Tolerant,Tolerant to drought,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,7,SARI-JanLow,,Population améliorée,CSIR-SARI,,,2023,CSIR-SARI,,,,"31% de matière sèche, résistant aux charançons,",,,Orange,orange brunâtre,,,,,,,,,120,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,900 - 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,Moderately tolerant,moderate,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,8,BEAREGARD,,Lignée,NARI/GMB,,,2022,NARI/GMB,,,,"Early Maturing ,High β- carotene content",,,orange,Intermediat e pink,,,,,,,,,70 – 100 days,,,,,,,,,,,,,,,,,,Round elliptic,,,,,,,,,,,,,,700-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,,susceptable,not tolerant to draught,,,,,,,,,,,,,,,semi-erect,,,,,,,,,,,,,,,,,,,,
